SellerG,Suburb,Address,Rooms,Type,Price,Method,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Regionname,Propertycount
Brad,Essendon North,4/17 Bulla Rd,1,u,260000,S,9.4,3041,1,1,1,0,,,Moonee Valley,Western Metropolitan,1308
Brad,Essendon North,11 Duffy St,3,h,1320000,S,9.4,3041,3,1,1,766,,,Moonee Valley,Western Metropolitan,1308
Barry,Essendon North,4/8 Keam St,2,u,450000,SP,9.4,3041,2,1,1,88,59,1960,Moonee Valley,Western Metropolitan,1308
Nelson,Essendon North,64 Kerferd St,5,h,1360000,S,9.4,3041,5,3,2,463,196,1930,Moonee Valley,Western Metropolitan,1308
Nelson,Essendon North,1/48 Keilor Rd,2,u,340000,SP,9.4,3041,2,1,1,0,65,1960,Moonee Valley,Western Metropolitan,1308
Nelson,Essendon North,2/31 Greville St,3,u,765000,S,9.4,3041,3,2,1,0,134,2002,Moonee Valley,Western Metropolitan,1308
Barry,Essendon North,21 Greville St,4,h,1605000,S,9.4,3041,3,2,2,607,,1940,Moonee Valley,Western Metropolitan,1308
Nelson,Essendon North,2/26 Renown St,3,u,712000,S,9.4,3041,3,2,2,189,104,2009,Moonee Valley,Western Metropolitan,1308
McGrath,Essendon North,1 Dudley St,3,h,1425000,S,9.4,3041,3,2,2,10100,,,Moonee Valley,Western Metropolitan,1308
Jellis,Fairfield,150 Gillies St,3,h,1250000,VB,5.8,3078,3,2,0,327,144,1910,Darebin,Northern Metropolitan,2970
McGrath,Fairfield,7 Rathmines St,3,h,1350000,PI,5.8,3078,3,1,2,309,110,2000,Darebin,Northern Metropolitan,2970
Jellis,Fairfield,197 Wingrove St,3,h,1125000,S,5.8,3078,2,1,2,530,,,Darebin,Northern Metropolitan,2970
Jellis,Fairfield,192 Gillies St,3,h,1064000,S,5.8,3078,3,1,1,235,,1900,Darebin,Northern Metropolitan,2970
Jellis,Fairfield,229 Rathmines St,2,h,1220000,S,5.8,3078,2,1,2,537,92,1950,Darebin,Northern Metropolitan,2970
Nelson,Fairfield,197 Station St,4,h,1160000,PI,5.8,3078,4,2,1,381,145,1890,Darebin,Northern Metropolitan,2970
Nelson,Fairfield,2/115 Gillies St,2,u,505000,PI,5.8,3078,2,1,1,0,70,1970,Darebin,Northern Metropolitan,2970
Jellis,Fairfield,20/262 Heidelberg Rd,2,u,602000,S,5.8,3078,2,1,1,0,77,2013,Yarra,Northern Metropolitan,2970
Love,Fairfield,3/260 Rathmines St,3,t,846000,SP,5.8,3078,3,1,1,185,107,1990,Darebin,Northern Metropolitan,2970
Nelson,Fairfield,7/223 Station St,2,u,400000,VB,5.8,3078,2,1,1,0,68,1970,Darebin,Northern Metropolitan,2970
Thomas,Fairfield,2/152 Gillies St,2,h,610000,S,5.8,3078,2,1,1,66,,,Darebin,Northern Metropolitan,2970
Nelson,Fairfield,7/59 Rathmines St,2,u,445000,S,5.8,3078,2,1,1,0,56,1970,Darebin,Northern Metropolitan,2970
Jellis,Fairfield,3/18 Gillies St,2,u,730000,S,5.8,3078,2,1,1,116,,1985,Darebin,Northern Metropolitan,2970
Jellis,Fairfield,88 Perry St,4,h,1730000,S,5.8,3078,4,2,2,490,226,2007,Darebin,Northern Metropolitan,2970
Harcourts,Fairfield,4/28 Rushall St,2,u,438000,S,5.8,3078,2,1,1,0,,,Darebin,Northern Metropolitan,2970
Jellis,Fairfield,125 Grange Rd,3,h,1700000,PI,5.8,3078,3,2,1,743,,,Darebin,Northern Metropolitan,2970
hockingstuart,Fairfield,1/72 Rathmines St,2,u,510000,S,5.8,3078,2,1,1,1658,68,1970,Darebin,Northern Metropolitan,2970
Raine,Fairfield,4/10 Station St,1,u,300000,VB,5.8,3078,1,1,1,0,,,Yarra,Northern Metropolitan,2970
Barry,Fairfield,139 Christmas St,3,h,750000,VB,5.8,3078,3,2,1,170,,,Darebin,Northern Metropolitan,2970
Collins,Fairfield,45 McGregor St,3,h,2350000,PI,5.8,3078,3,2,4,735,,1950,Darebin,Northern Metropolitan,2970
Nelson,Fairfield,52 Rayment St,3,h,1350000,VB,5.8,3078,3,1,4,553,109,1930,Darebin,Northern Metropolitan,2970
Nelson,Fairfield,254 Rathmines St,4,h,2000000,VB,5.8,3078,4,3,2,575,280,2015,Darebin,Northern Metropolitan,2970
Nelson,Fairfield,100 Perry St,2,h,1010000,S,5.8,3078,2,1,1,285,,,Darebin,Northern Metropolitan,2970
Nelson,Fairfield,231 Station St,3,h,1065000,S,5.8,3078,3,1,2,630,,1930,Darebin,Northern Metropolitan,2970
McGrath,Fairfield,4/224 Arthur St,2,t,805000,S,5.8,3078,2,1,1,140,2,2008,Darebin,Northern Metropolitan,2970
Collins,Fairfield,225 Gillies St,3,h,1055000,S,5.8,3078,3,1,2,382,140,1950,Darebin,Northern Metropolitan,2970
Nelson,Fairfield,15/262 Heidelberg Rd,2,u,548000,SP,5.8,3078,2,1,1,0,68,2014,Yarra,Northern Metropolitan,2970
McGrath,Fairfield,189 Rathmines St,3,h,1500000,S,5.8,3078,3,1,1,0,126,1910,Darebin,Northern Metropolitan,2970
Jellis,Fairfield,1/203 Station St,2,u,600000,VB,5.8,3078,2,1,2,0,75,1970,Darebin,Northern Metropolitan,2970
Jellis,Fairfield,48 Gordon St,3,h,1510000,S,5.8,3078,1,1,1,453,,,Darebin,Northern Metropolitan,2970
McGrath,Fairfield,1/240 Arthur St,2,u,545000,SP,5.8,3078,2,1,1,0,77,2002,Darebin,Northern Metropolitan,2970
McGrath,Fairfield,250 Arthur St,3,h,1145000,S,5.8,3078,3,1,3,590,,,Darebin,Northern Metropolitan,2970
McGrath,Fairfield,147 Gillies St,3,h,1375000,S,5.8,3078,3,1,1,496,122,1910,Darebin,Northern Metropolitan,2970
Nelson,Fitzroy,111 Cecil St,2,h,1000000,S,1.6,3065,2,1,0,128,,,Yarra,Northern Metropolitan,5825
Nelson,Fitzroy,3/18 Hanover St,3,h,1252000,S,1.6,3065,3,2,2,0,137,2004,Yarra,Northern Metropolitan,5825
Jellis,Fitzroy,4/113 Cecil St,2,u,810000,S,1.6,3065,2,1,2,0,71,1965,Yarra,Northern Metropolitan,5825
Nelson,Fitzroy,502/69 Victoria St,2,u,692000,S,1.6,3065,2,1,1,0,,,Yarra,Northern Metropolitan,5825
Peter,Fitzroy,127 George St,4,h,1780000,S,1.6,3065,4,1,1,186,,1902,Yarra,Northern Metropolitan,5825
Nelson,Fitzroy,199 Moor St,1,h,947500,S,1.6,3065,1,1,0,87,66,1980,Yarra,Northern Metropolitan,5825
Nelson,Fitzroy,291 George St,2,h,1460000,PI,1.6,3065,2,1,0,0,105,1890,Yarra,Northern Metropolitan,5825
Jellis,Fitzroy,1/59 Leicester St,3,t,1520000,S,1.6,3065,3,2,2,0,,,Yarra,Northern Metropolitan,5825
Nelson,Fitzroy,7/56 Leicester St,2,t,880000,S,1.6,3065,2,2,2,0,105,2000,Yarra,Northern Metropolitan,5825
Caine,Fitzroy,52 Nicholson St,4,h,3310000,S,1.6,3065,4,4,2,337,291,1854,Yarra,Northern Metropolitan,5825
Jellis,Fitzroy,124 Westgarth St,3,h,1481000,S,1.6,3065,3,2,1,138,,1900,Yarra,Northern Metropolitan,5825
Nelson,Fitzroy,258 Napier St,3,h,2200000,VB,1.6,3065,3,2,1,187,,,Yarra,Northern Metropolitan,5825
Nelson,Fitzroy,431 George St,3,h,1250000,PI,1.6,3065,3,1,1,113,105,1890,Yarra,Northern Metropolitan,5825
Nelson,Fitzroy,190 Gore St,2,h,1440000,S,1.6,3065,3,1,0,95,,,Yarra,Northern Metropolitan,5825
Jellis,Fitzroy,20 Westgarth St,2,h,1315000,S,1.6,3065,2,1,0,141,,,Yarra,Northern Metropolitan,5825
Nelson,Fitzroy,31 Bell St,4,h,1950000,S,1.6,3065,4,1,0,177,152,1890,Yarra,Northern Metropolitan,5825
Harrington,Fitzroy,5/113 Cecil St,1,u,597000,S,1.6,3065,1,1,1,0,,2000,Yarra,Northern Metropolitan,5825
Nelson,Fitzroy,24/26 Victoria St,2,u,650000,S,1.6,3065,2,1,1,0,,,Yarra,Northern Metropolitan,5825
Jellis,Fitzroy,113/300 Young St,1,u,465000,SP,1.6,3065,1,1,1,0,52,2011,Yarra,Northern Metropolitan,5825
Nelson,Fitzroy,60 Bell St,4,h,1620000,S,1.6,3065,3,2,1,132,165,1880,Yarra,Northern Metropolitan,5825
Nelson,Fitzroy,47 Charles St,3,h,1600000,S,1.6,3065,3,2,1,261,,,Yarra,Northern Metropolitan,5825
Nelson,Fitzroy,10/5 St David St,3,u,850000,VB,1.6,3065,3,2,1,2782,115,2000,Yarra,Northern Metropolitan,5825
Nelson,Fitzroy,309/416 Gore St,2,u,790000,S,1.6,3065,2,1,1,0,,,Yarra,Northern Metropolitan,5825
Nelson,Fitzroy,84 Kerr St,2,h,1122000,S,1.6,3065,2,1,0,106,101,1890,Yarra,Northern Metropolitan,5825
hockingstuart,Fitzroy,306/96 charles St,2,u,660000,SP,1.6,3065,2,2,0,0,,,Yarra,Northern Metropolitan,5825
Nelson,Fitzroy,107 Cecil St,2,h,1300000,S,1.6,3065,2,1,1,157,110,1900,Yarra,Northern Metropolitan,5825
Caine,Fitzroy,8/98 George St,1,u,420000,S,1.6,3065,1,1,1,782,42,1975,Yarra,Northern Metropolitan,5825
Nelson,Fitzroy,101/416 Gore St,2,u,715000,S,1.6,3065,2,1,1,0,74,1900,Yarra,Northern Metropolitan,5825
hockingstuart,Fitzroy,206/424 Gore St,1,u,458000,S,1.6,3065,1,1,1,0,62,,Yarra,Northern Metropolitan,5825
Harrington,Fitzroy,116 Leicester St,2,h,800000,VB,1.6,3065,2,2,1,64,138,1995,Yarra,Northern Metropolitan,5825
Jellis,Fitzroy,9/56 Leicester St,2,t,710000,S,1.6,3065,2,1,1,0,90,2002,Yarra,Northern Metropolitan,5825
hockingstuart,Fitzroy,6/226 Moor St,2,u,630000,VB,1.6,3065,2,1,1,0,70,2007,Yarra,Northern Metropolitan,5825
Nelson,Fitzroy,17 Bell St,4,h,4011000,S,1.6,3065,4,3,2,286,275,1890,Yarra,Northern Metropolitan,5825
Chambers,Fitzroy,11 Henry St,2,h,677000,S,1.6,3065,2,1,0,67,,1850,Yarra,Northern Metropolitan,5825
Woodards,Fitzroy North,233/4 Bik La,2,u,700000,SP,3.5,3068,2,2,1,4332,85,2010,Yarra,Northern Metropolitan,6244
Woodards,Fitzroy North,470 Brunswick St,2,h,860000,S,3.5,3068,2,1,0,104,70,1880,Yarra,Northern Metropolitan,6244
Nelson,Fitzroy North,50 Freeman St,2,h,870000,S,3.5,3068,2,1,0,107,64,1910,Yarra,Northern Metropolitan,6244
Nelson,Fitzroy North,76 Newry St,2,h,1116000,S,3.5,3068,3,1,0,152,,,Yarra,Northern Metropolitan,6244
Nelson,Fitzroy North,2 Pilkington St,4,h,1450000,VB,3.5,3068,4,2,1,266,175,1950,Yarra,Northern Metropolitan,6244
Nelson,Fitzroy North,186 Queens Pde,2,t,930000,S,3.5,3068,2,3,0,2778,3558,,Yarra,Northern Metropolitan,6244
Collins,Fitzroy North,129/4 Bik La,2,u,700000,SP,3.5,3068,2,2,2,4296,,2011,Yarra,Northern Metropolitan,6244
Nelson,Fitzroy North,276 McKean St,3,h,2170000,S,3.5,3068,3,2,1,177,,,Yarra,Northern Metropolitan,6244
Jellis,Fitzroy North,7/14 Rae St,1,u,358500,SP,3.5,3068,1,1,1,0,40,1975,Yarra,Northern Metropolitan,6244
Nelson,Fitzroy North,24 Taylor St,3,h,1000000,VB,3.5,3068,3,1,0,249,,,Yarra,Northern Metropolitan,6244
Nicholson,Fitzroy North,51 Rae St,2,h,770000,SA,3.5,3068,2,2,1,134,151,1905,Yarra,Northern Metropolitan,6244
LITTLE,Fitzroy North,92 Scotchmer St,2,h,1008000,S,3.5,3068,2,1,1,150,77,1890,Yarra,Northern Metropolitan,6244
Collins,Fitzroy North,5/35 Jamieson St,3,t,1015000,S,3.5,3068,3,2,1,112,145,2000,Yarra,Northern Metropolitan,6244
Nelson,Fitzroy North,780 Brunswick St,3,h,1371000,S,3.5,3068,2,1,1,197,128,1900,Yarra,Northern Metropolitan,6244
Chambers,Fitzroy North,1/180 Queens Pde,2,t,1054000,S,3.5,3068,2,2,1,0,,,Yarra,Northern Metropolitan,6244
Harrington,Fitzroy North,24 Apperley St,2,h,1055000,S,3.5,3068,2,1,0,122,,,Yarra,Northern Metropolitan,6244
Woodards,Fitzroy North,605/4 Bik La,2,u,720000,S,3.5,3068,2,2,1,4296,,2011,Yarra,Northern Metropolitan,6244
Holland,Fitzroy North,201A Clauscen St,3,h,1286000,S,3.5,3068,3,1,0,275,116,1915,Yarra,Northern Metropolitan,6244
Nelson,Fitzroy North,11 Freeman St,3,h,1655000,S,3.5,3068,3,1,0,176,,1900,Yarra,Northern Metropolitan,6244
Nelson,Fitzroy North,373 Rae St,3,h,1181000,S,3.5,3068,2,1,1,148,,,Yarra,Northern Metropolitan,6244
Jellis,Fitzroy North,26 Scotchmer St,3,t,1600000,VB,3.5,3068,3,3,1,188,129,2000,Yarra,Northern Metropolitan,6244
Nelson,Fitzroy North,13 Alister St,5,h,2875000,S,3.5,3068,5,2,3,818,,,Moreland,Northern Metropolitan,6244
Nelson,Fitzroy North,28 Percy St,2,h,990000,S,3.5,3068,2,1,0,145,,,Yarra,Northern Metropolitan,6244
Nelson,Fitzroy North,74 Barkly St,4,h,1950000,S,3.5,3068,4,2,2,233,216,1890,Yarra,Northern Metropolitan,6244
Nelson,Fitzroy North,79 Delbridge St,4,h,3400000,S,3.5,3068,3,2,1,445,175,1890,Yarra,Northern Metropolitan,6244
Nelson,Fitzroy North,70 Park St,4,h,1785000,S,3.5,3068,4,2,1,188,165,1900,Yarra,Northern Metropolitan,6244
Jellis,Fitzroy North,10 Delbridge St,2,h,1315000,S,3.5,3068,2,1,0,143,,,Yarra,Northern Metropolitan,6244
Nelson,Fitzroy North,2 Scotchmer St,2,h,1210000,S,3.5,3068,2,1,1,223,118,1885,Yarra,Northern Metropolitan,6244
Nelson,Fitzroy North,111 Best St,3,h,1275000,SP,3.5,3068,3,2,1,104,110,1890,Yarra,Northern Metropolitan,6244
Nelson,Fitzroy North,282 Glenlyon Rd,3,h,1141000,S,3.5,3068,2,1,1,378,,,Moreland,Northern Metropolitan,6244
Harrington,Fitzroy North,24 Batman St,2,h,1255000,S,3.5,3068,2,1,0,148,,,Yarra,Northern Metropolitan,6244
Nelson,Fitzroy North,83 Best St,3,h,1700000,VB,3.5,3068,3,2,1,240,,,Yarra,Northern Metropolitan,6244
Chambers,Fitzroy North,35 Birkenhead St,2,h,1290000,S,3.5,3068,2,1,0,136,92,1890,Yarra,Northern Metropolitan,6244
Woodards,Fitzroy North,8/3 Miller St,2,t,750000,S,3.5,3068,2,2,2,0,95,2002,Yarra,Northern Metropolitan,6244
Chambers,Fitzroy North,9/222 Queens Pde,3,u,674000,S,3.5,3068,3,1,1,0,,,Yarra,Northern Metropolitan,6244
Nelson,Fitzroy North,23/86 Queens Pde,2,u,675000,SP,3.5,3068,2,1,2,0,92,2010,Yarra,Northern Metropolitan,6244
Jellis,Fitzroy North,44 Reid St,4,t,1700000,VB,3.5,3068,4,3,2,127,209,2008,Yarra,Northern Metropolitan,6244
Jellis,Fitzroy North,30 Eastham St,2,h,875000,S,3.5,3068,2,1,0,106,,,Yarra,Northern Metropolitan,6244
Jellis,Fitzroy North,3 Curtain Pl,3,t,1080000,S,3.5,3068,3,2,1,77,133,2016,Yarra,Northern Metropolitan,6244
Nelson,Fitzroy North,14 Falconer St,3,h,1851000,S,3.5,3068,3,1,1,225,,,Yarra,Northern Metropolitan,6244
Chambers,Fitzroy North,273 Glenlyon Rd,2,h,1222500,S,3.5,3068,2,1,2,487,105,1940,Moreland,Northern Metropolitan,6244
Jellis,Fitzroy North,8/54 Kneen St,1,u,330000,VB,3.5,3068,1,1,1,0,,1970,Yarra,Northern Metropolitan,6244
Jellis,Fitzroy North,13 Seacombe St,2,h,1232000,S,3.5,3068,2,1,0,0,,,Yarra,Northern Metropolitan,6244
Jellis,Fitzroy North,21 Reid St,1,h,899000,S,3.5,3068,2,1,0,153,,,Yarra,Northern Metropolitan,6244
Nelson,Fitzroy North,179 Barkly St,3,h,2300000,S,3.5,3068,4,1,2,475,,,Yarra,Northern Metropolitan,6244
Jellis,Fitzroy North,181 Rae St,2,h,937500,S,3.5,3068,2,1,0,100,72,1890,Yarra,Northern Metropolitan,6244
Collins,Fitzroy North,86 Clauscen St,3,h,1710000,S,3.5,3068,3,2,0,357,,1880,Yarra,Northern Metropolitan,6244
Collins,Fitzroy North,264 Barkly St,3,h,1600000,S,3.5,3068,3,1,0,370,,,Yarra,Northern Metropolitan,6244
Nelson,Fitzroy North,191 Scotchmer St,3,h,1300000,VB,3.5,3068,3,1,1,203,110,1890,Yarra,Northern Metropolitan,6244
Nelson,Fitzroy North,49 Best St,4,h,2300000,S,3.5,3068,4,2,1,197,,,Yarra,Northern Metropolitan,6244
Nelson,Fitzroy North,123/4 Bik La,2,u,490000,VB,3.5,3068,2,1,1,4296,,2012,Yarra,Northern Metropolitan,6244
Collins,Fitzroy North,717 Brunswick St,3,h,1300000,S,3.5,3068,3,2,0,127,135,1890,Yarra,Northern Metropolitan,6244
hockingstuart,Fitzroy North,14 King St,3,h,1300000,S,3.5,3068,3,1,0,309,,,Yarra,Northern Metropolitan,6244
Nelson,Fitzroy North,205 Scotchmer St,3,h,2150000,S,3.5,3068,3,2,0,202,307,1898,Yarra,Northern Metropolitan,6244
Woodards,Fitzroy North,8/86 Queens Pde,3,t,775000,S,3.5,3068,3,2,2,0,,,Yarra,Northern Metropolitan,6244
Jellis,Fitzroy North,168 Scotchmer St,3,h,1581000,S,3.5,3068,3,1,0,193,132,1910,Yarra,Northern Metropolitan,6244
Nelson,Fitzroy North,12/262 Barkly St,2,u,602000,S,3.5,3068,2,1,1,0,48,1980,Yarra,Northern Metropolitan,6244
Nelson,Fitzroy North,5/118 Miller St,2,h,650000,PI,3.5,3068,2,1,1,0,75,1980,Yarra,Northern Metropolitan,6244
Nelson,Fitzroy North,421 Rae St,2,h,1283000,S,3.5,3068,2,1,2,204,,,Yarra,Northern Metropolitan,6244
Nelson,Fitzroy North,55 Seacombe St,3,h,1450000,S,3.5,3068,3,2,1,118,103,1905,Yarra,Northern Metropolitan,6244
Collins,Fitzroy North,29 Tait St,2,h,1325000,S,3.5,3068,2,1,0,160,,,Yarra,Northern Metropolitan,6244
Nelson,Flemington,96 Bryant St,2,h,865500,S,4.4,3031,2,1,1,168,,,Moonee Valley,Northern Metropolitan,3593
Rendina,Flemington,3/39 Dover St,2,u,365000,PI,4.4,3031,2,1,1,0,60,1970,Moonee Valley,Northern Metropolitan,3593
Biggin,Flemington,15/17 Ascot Vale Rd,1,u,380000,SP,4.4,3031,1,1,1,2077,,,Moonee Valley,Northern Metropolitan,3593
Hodges,Flemington,8/39 Dover St,2,u,425000,SP,4.4,3031,2,1,1,0,63,1970,Moonee Valley,Northern Metropolitan,3593
Nelson,Flemington,1/142 Shields St,1,u,280000,VB,4.4,3031,1,1,1,0,,1970,Moonee Valley,Northern Metropolitan,3593
Brad,Flemington,10 Crown St,3,h,870000,S,4.4,3031,3,2,0,167,,,Moonee Valley,Northern Metropolitan,3593
Nelson,Flemington,1/15 Dartford St,2,u,391000,S,4.4,3031,2,1,1,0,59,1970,Moonee Valley,Northern Metropolitan,3593
Nelson,Flemington,1/116 Edinburgh St,2,h,715000,SP,4.4,3031,2,1,1,0,,1980,Moonee Valley,Northern Metropolitan,3593
Nelson,Flemington,11 Finsbury St,3,h,1130000,S,4.4,3031,3,1,0,294,140,1900,Moonee Valley,Northern Metropolitan,3593
Nelson,Flemington,43 Finsbury St,3,h,1110000,PI,4.4,3031,3,1,1,272,131,1885,Moonee Valley,Northern Metropolitan,3593
Nelson,Flemington,40 Coronet St,2,h,950000,SP,4.4,3031,2,1,1,193,,,Moonee Valley,Northern Metropolitan,3593
Nelson,Flemington,107 Shields St,2,h,918000,S,4.4,3031,2,1,0,136,78,1900,Moonee Valley,Northern Metropolitan,3593
Nelson,Flemington,59 Victoria St,2,h,730000,SP,4.4,3031,2,1,1,140,98,1890,Moonee Valley,Northern Metropolitan,3593
Nelson,Flemington,6/47 Railway Pl W,2,u,360000,PI,4.4,3031,2,1,1,0,,,Moonee Valley,Northern Metropolitan,3593
Nelson,Flemington,21 Wisewould St,2,h,855000,SP,4.4,3031,2,1,0,225,85,1930,Moonee Valley,Northern Metropolitan,3593
Nelson,Flemington,4 Illawarra Rd,2,h,860000,S,4.4,3031,2,1,0,202,,,Moonee Valley,Northern Metropolitan,3593
Australian,Flemington,61 Canterbury St,3,h,1012000,S,4.4,3031,3,1,1,212,102,1930,Moonee Valley,Northern Metropolitan,3593
Nelson,Flemington,15 Clarence St,3,h,885000,S,4.4,3031,3,1,0,162,,,Moonee Valley,Northern Metropolitan,3593
Nelson,Flemington,90 Edinburgh St,3,h,1315000,S,4.4,3031,2,1,1,313,20,,Moonee Valley,Northern Metropolitan,3593
Nelson,Flemington,111 Wellington St,4,h,1700000,SP,4.4,3031,4,1,1,616,,,Moonee Valley,Northern Metropolitan,3593
Rendina,Flemington,1/4 Chatham St,3,h,1205000,S,4.4,3031,3,2,2,0,,,Moonee Valley,Northern Metropolitan,3593
Rendina,Flemington,3/39 Dover St,2,u,395000,PI,4.4,3031,2,1,1,0,60,1970,Moonee Valley,Northern Metropolitan,3593
Alexkarbon,Flemington,3/121 Wellington St,2,u,476000,S,4.4,3031,2,1,1,0,,,Moonee Valley,Northern Metropolitan,3593
Nelson,Flemington,7/30 Bryant St,1,h,250000,VB,4.4,3031,1,1,1,0,,,Moonee Valley,Northern Metropolitan,3593
Woodards,Flemington,12/132 Princes St,2,u,556000,S,4.4,3031,2,2,1,0,79,2009,Moonee Valley,Northern Metropolitan,3593
Nelson,Flemington,12 John St,2,h,845000,S,4.4,3031,2,1,1,0,,1910,Moonee Valley,Northern Metropolitan,3593
Nelson,Flemington,5/60 Farnham St,1,u,345000,SP,4.4,3031,1,1,1,0,46,1970,Moonee Valley,Northern Metropolitan,3593
Nelson,Flemington,29 Finsbury St,3,h,1100000,VB,4.4,3031,3,2,0,179,150,1900,Moonee Valley,Northern Metropolitan,3593
Nelson,Flemington,114 Shields St,2,h,957000,SP,4.4,3031,2,1,0,165,,,Melbourne,Northern Metropolitan,3593
Rendina,Flemington,20 Glance St,3,h,991000,S,4.4,3031,3,1,4,402,,1915,Moonee Valley,Northern Metropolitan,3593
Jellis,Flemington,65 Victoria St,3,h,850000,VB,4.4,3031,4,2,0,162,,1905,Moonee Valley,Northern Metropolitan,3593
Nelson,Flemington,8/300 Racecourse Rd,1,u,395000,SP,4.4,3031,1,1,1,818,50,1880,Moonee Valley,Northern Metropolitan,3593
Jellis,Flemington,5/69 Edinburgh St,2,u,350000,VB,4.4,3031,2,1,1,0,,1970,Moonee Valley,Northern Metropolitan,3593
Nelson,Flemington,4 Farnham St,3,h,1115000,S,4.4,3031,3,1,1,244,84,1940,Moonee Valley,Northern Metropolitan,3593
Jellis,Flemington,5/121 Wellington St,2,u,420500,S,4.4,3031,2,1,1,0,52,1970,Moonee Valley,Northern Metropolitan,3593
Nelson,Footscray,4/33 Ballarat Rd,3,t,585000,S,6.4,3011,3,1,1,259,,,Maribyrnong,Western Metropolitan,7570
Burnham,Footscray,202/51 Gordon St,1,u,85000,PI,6.4,3011,1,1,0,0,,2007,Maribyrnong,Western Metropolitan,7570
Nelson,Footscray,4 Adelaide St,4,h,1225000,SP,6.4,3011,4,2,1,319,130,1915,Maribyrnong,Western Metropolitan,7570
Jas,Footscray,11/44 Everard St,2,u,431000,SP,6.4,3011,2,1,1,0,,,Maribyrnong,Western Metropolitan,7570
Naison,Footscray,9 Lynch St,3,h,1003000,S,6.4,3011,3,1,1,292,98,1900,Maribyrnong,Western Metropolitan,7570
Sweeney,Footscray,25 Southampton St,3,h,840000,S,6.4,3011,3,1,0,164,93,1900,Maribyrnong,Western Metropolitan,7570
Village,Footscray,37 Stirling St,3,h,1362000,S,6.4,3011,3,2,0,497,156,1890,Maribyrnong,Western Metropolitan,7570
Village,Footscray,58 Wolverhampton St,4,h,977000,S,6.4,3011,4,2,1,154,161,2007,Maribyrnong,Western Metropolitan,7570
Sweeney,Footscray,2/3 Eldridge St,1,u,216000,S,6.4,3011,1,1,1,0,50,1970,Maribyrnong,Western Metropolitan,7570
Jas,Footscray,8 Buckingham St,3,h,876000,S,6.4,3011,3,2,2,204,106,1990,Maribyrnong,Western Metropolitan,7570
Sweeney,Footscray,1/3 Eldridge St,1,u,227000,S,6.4,3011,1,1,1,0,52,1970,Maribyrnong,Western Metropolitan,7570
Jellis,Footscray,1/15 Geelong Rd,4,t,841000,S,6.4,3011,4,2,2,250,160,2000,Maribyrnong,Western Metropolitan,7570
Jas,Footscray,9/55 Moreland St,2,u,605000,SP,6.4,3011,2,1,3,2794,87,2000,Maribyrnong,Western Metropolitan,7570
Burnham,Footscray,1/30 Pickett St,2,u,305000,PI,6.4,3011,2,1,1,47,35,2013,Maribyrnong,Western Metropolitan,7570
Jas,Footscray,5/28 Eleanor St,2,t,480000,PI,6.4,3011,2,1,1,556,75,2010,Maribyrnong,Western Metropolitan,7570
Village,Footscray,1/38 Lynch St,1,u,357000,S,6.4,3011,1,1,0,0,,1980,Maribyrnong,Western Metropolitan,7570
Village,Footscray,8 McCubbin St,3,h,910000,S,6.4,3011,3,1,1,361,118,1940,Maribyrnong,Western Metropolitan,7570
Sweeney,Footscray,6/114 Commercial Rd,1,u,291000,PI,6.4,3011,1,1,1,665,46,1970,Maribyrnong,Western Metropolitan,7570
Sweeney,Footscray,3/8 Eleanor St,2,h,375000,S,6.4,3011,2,1,1,0,,1968,Maribyrnong,Western Metropolitan,7570
Jas,Footscray,8 Jerrold St,2,h,752000,SP,6.4,3011,2,1,0,215,98,1910,Maribyrnong,Western Metropolitan,7570
Burnham,Footscray,32 Commercial Rd,3,h,1155000,S,6.4,3011,3,1,3,585,120,1950,Maribyrnong,Western Metropolitan,7570
Sweeney,Footscray,11 Commercial Rd,3,h,930000,PI,6.4,3011,3,1,3,413,,,Maribyrnong,Western Metropolitan,7570
Sweeney,Footscray,105/64 Cross St,2,u,490000,S,6.4,3011,2,1,1,0,,,Maribyrnong,Western Metropolitan,7570
Village,Footscray,1/13 Essex St,3,h,853000,S,6.4,3011,3,1,1,0,141,2010,Maribyrnong,Western Metropolitan,7570
Sweeney/Advantage,Footscray,13 Lynch St,4,h,1290000,S,6.4,3011,3,1,2,411,,,Maribyrnong,Western Metropolitan,7570
Nelson,Footscray,6/11 Nicholson St,3,u,480000,S,6.4,3011,3,1,1,0,90,1985,Maribyrnong,Western Metropolitan,7570
Sweeney,Footscray,3 Park St,4,h,775000,S,6.4,3011,2,1,2,277,87,1890,Maribyrnong,Western Metropolitan,7570
Village,Footscray,39 Dudley St,2,h,900000,SP,6.4,3011,2,1,0,210,,1900,Maribyrnong,Western Metropolitan,7570
Sweeney,Footscray,8/19 Empire St,2,u,281000,S,6.4,3011,2,1,1,0,65,1980,Maribyrnong,Western Metropolitan,7570
hockingstuart,Footscray,1 Stanlake St,4,h,1300000,S,6.4,3011,4,2,3,0,190,1950,Maribyrnong,Western Metropolitan,7570
Jas,Footscray,2/10 Swan St,3,t,714000,S,6.4,3011,3,2,2,164,3,2008,Maribyrnong,Western Metropolitan,7570
Jas,Footscray,84 Victoria St,3,h,775000,SP,6.4,3011,3,2,1,197,,,Maribyrnong,Western Metropolitan,7570
